menus_id,名字,收藏,浏览,工艺,口味,时间,难度,主料,辅料
10662,香菇炒肉皮, 4 收藏 , 3929 浏览,炒,家常味,10分钟,初中水平,"['卤肉皮 300克', '干香菇 3个', '青红辣椒 2个']","['植物油 适量', '盐 适量', '生抽 5克', '姜 5克']"
13396,红烧带鱼, 13 收藏 , 2417 浏览,烧,咸鲜味,15分钟,初级入门,"['带鱼 3条', '鸡蛋 2个']","['料酒 适量', '生抽 适量', '大蒜 5瓣', '姜 1块', '八角 2颗', '花椒 1撮', '盐 少许', '水 1碗']"
7893,蚝油焖鸡翅, 28 收藏 , 7333 浏览,焖,家常味,30分钟,初级入门,"['鸡翅 8个', '蚝油 2大勺']","['生抽 2勺', '料酒 2勺', '葱 半根', '姜 1小块']"
7726,午餐肉青菜虾仔面, 328 收藏 , 2689 浏览,煮,家常味,5分钟,初级入门,"['虾仔面饼 2块', '午餐肉 1块', '油菜 4棵']","['香葱 少许', '水 适量']"
735,鱼香肉丝, 433 收藏 , 4540 浏览,炒,家常味,15分钟,未知,"['猪肉 适量', '木耳 适量', '青椒 1个', '洋葱 少许', '胡萝卜 少许']","['淀粉 1勺', '醋 1勺', '盐 3克', '豆瓣酱 1勺', '料酒 1勺', '蒜 适量']"
1660,双色如意卷（年夜饭必备）, 730 收藏 , 4773 浏览,蒸,咸鲜味,30分钟,未知,"['猪肉馅 200克', '花生油 10克', '紫甘蓝 100克', '寿司紫菜 2张', '鸡蛋 3枚', '料酒 5克', '鸡精 1克', '生抽 6克', '蒜苗 半根', '淀粉 2克']","['香菜 少许', '盐 适量']"
14632,可乐鸡翅, 36 收藏 , 3333 浏览,炖,家常味,30分钟,初级入门,"['鸡翅 400克', '可乐 330毫升']","['姜 10克', '香葱 10克', '老抽 5毫升', '料酒 5毫升', '食盐 2克', '花生油 10毫升']"
8524,凉拌黄豆, 40 收藏 , 16658 浏览,煮,家常味,15分钟,初级入门,"['黄豆 100克', '葱 1根']","['生抽 1勺', '麻油 1勺', '花椒油 1勺', '红油 1勺', '醋 1勺']"
14684,贵妃鸡翅, 4586 收藏 , 20864 浏览,烧,咸鲜味,15分钟,初级入门,"['鸡翅中 8个', '贵州国坛道系青年黄金酒 适量']","['姜 1块', '大葱 1段', '盐 1勺', '胡椒粉 1小勺', '生抽 2勺', '老抽 半勺', '冰糖 25克']"
9273,台式三杯鸡, 136 收藏 , 30831 浏览,烧,咸鲜味,30分钟,初级入门,"['鸡腿 3个', '红尖椒 3根', '大葱 切段切丝', '生姜 切片', '大蒜 切片', '九层塔 适量']","['生抽 适量', '老抽 适量', '冰糖 适量', '香油 少许']"
4698,水波蛋牛肉咖喱饭, 4 收藏 , 5895 浏览,蒸,咖喱味,10分钟,初级入门,"['鸡蛋       2个', '嫩豆腐  60克']","['洋葱  20克', '胡萝卜  15克', '牛肉咖喱  适量', '米饭  适量']"
12398,今天就做这道经典下饭菜——麻婆豆腐, 337 收藏 , 4478 浏览,炒,香辣味,30分钟,初级入门,"['牛肉 120克', '豆腐 1块', '生抽 5毫升', '白糖 2克 ', '豆瓣酱 30克', '葱姜蒜末 适量 ', '干辣椒 少许']","['醋 少许', '油 适量 ', '水淀粉 少许', '金龙鱼花椒油 适量']"
