菜名,工艺,口味,时间,难度,主料,辅料
Q弹爽口~锤子肉片,煮,家常味,10分钟,未知,['猪肉 适量'],"['紫菜 适量', '淀粉 适量', '虾米 适量', '香菜 适量', '大葱 适量', '鱼露 适量', '盐 适量', '料酒 适量']"
面包糠炒虾,炒,家常味,5分钟,新手尝试,"['虾 300克', '生姜 适量', '大蒜 适量', '大葱 适量']","['料酒 10克', '盐 2克', '淀粉 适量', '干辣椒 适量']"
可乐鸡翅,炖,甜味,15分钟,新手尝试,['鸡翅 10只'],"['花生油 20毫升', '八角 2个', '酱油 5毫升', '盐 3克', '生姜 10克']"
炒素三丝,炒,其他口味,15分钟,未知,"['土豆 中等大小1个（240克）', '胡萝卜 中等大小半根（75克）', '青椒 中等大小半个（50克）']","['盐 1/2茶匙（2.5克）', '花生油 适量（30毫升）']"
美极焗鸡翅,焗,咸鲜味,15分钟,未知,['鸡翅 6个'],"['大葱 少许', '孜然 少许', '咖喱 少许', '料酒 少许', '水 少许', '花生油 少许', '生姜 2片', '大蒜 少许', '盐 2克', '料酒 少许', '八角 1个', '西红柿 2勺', '蜂蜜 1丢丢']"
盐煎鸡翅,炒,家常味,5分钟,新手尝试,['鸡翅 300克'],"['盐 3克', '胡椒粉 适量']"
红烧排骨,烧,酱香味,10分钟,初级入门,['猪肉 500克'],"['花生油 10毫升', '白糖 15克', '八角 适量', '香叶 适量', '生姜 适量', '盐 3克', '大葱 适量', '水 150毫升']"
可乐鸡翅,炖,其他口味,30分钟,未知,['鸡翅 10个'],"['大葱 食指长一节', '生姜 一块', '花椒 8粒', '盐 1/2茶匙（2.5克）', '水 500毫升', '花生油 适量（45毫升）']"
双色如意卷（年夜饭必备）,蒸,咸鲜味,30分钟,未知,"['猪肉 200克', '花生油 10克', '紫甘蓝 100克', '紫菜 2张', '鸡蛋 3枚', '料酒 5克', '鸡精 1克', '蒜苗 半根', '淀粉 2克']","['香菜 少许', '盐 适量']"
酱蒸猪肉,蒸,家常味,15分钟,新手尝试,['猪肉 300克'],"['大蒜 3克', '香菜 少许', '白糖 2克', '生姜 4片', '水 10克']"
口水鸡爪,煮,麻辣味,30分钟,初级入门,['鸡爪 10个'],"['大葱 2根', '大蒜 6个', '生姜 1块', '香叶 2片', '花椒 1把', '丁香 3粒', '料酒 20毫升', '醋 10毫升', '白糖 1勺', '花椒 1勺', '黑芝麻 适量', '花生油 适量', '辣椒 适量', '鸡精 适量']"
葱爆羊肉,炒,家常味,30分钟,新手尝试,"['羊肉 200克', '大葱 150克']","['花生油 适量', '白糖 少许', '盐 适量', '料酒 适量']"
大蒜泥黄瓜,拌,咸鲜味,10分钟,新手尝试,['黄瓜 1根'],"['大蒜 2克', '香菜 5克', '花生油 5毫升', '盐 2克', '醋 30毫升']"
冒菜米粉,煮,香辣味,30分钟,初中水平,"['米粉 500克', '鱼丸 500克', '豆腐皮 1个', '莲藕 300克']","['大葱 一根', '生姜 10克', '香菜 50克', '黑芝麻 20克']"
扇贝鲜肉生煎包,煎,咸鲜味,10分钟,未知,"['韭菜 1把', '猪肉 200克', '扇贝 80克', '小麦面粉 250克']","['五香粉 适量', '花生油 半勺', '味精 适量', '盐 3克', '花生油 适量']"
胡萝卜炒鸡蛋,炒,咸鲜味,10分钟,新手尝试,"['胡萝卜 1根', '鸡蛋 1个', '黑木耳 适量']","['大葱 5克', '生姜 5克', '花生油 5毫升', '胡椒粉 2克', '盐 2克', '花生油 2克', '白糖 2克']"
金针菇白玉卷~金玉满堂迎新春,煮,酸辣味,10分钟,未知,"['金针菇 适量', '娃娃菜 两颗']","['大葱 适量', '辣椒 适量', '辣椒粉 适量', '虾米 适量', '醋 适量']"
川味干锅鸡翅,炒,香辣味,30分钟,新手尝试,"['鸡翅 10个', '土豆 1个', '干辣椒 20克', '芹菜 80克', '大蒜 1头', '生姜 15克', '豆瓣酱 适量', '白糖 适量', '淀粉 适量']","['黑芝麻 适量', '盐 0.5茶匙', '大蒜 5克', '生姜 5克', '花生油 适量']"
毛血旺,煮,香辣味,60分钟,初级入门,"['鸭血 600克', '黄豆芽 500克', '粉条 100']","['料酒 15克', '花生油 20克', '大葱 8克', '花椒 10克', '生姜 10克', '大蒜 5克', '水 500毫升']"
地三鲜,烧,咸鲜味,30分钟,未知,"['土豆 1个', '青椒 1个', '茄子 1个']","['大葱 10克', '生姜 10克', '大蒜 10克', '料酒 15克', '白糖 8克', '水 15克', '盐 少许']"
红烧茄子,炒,家常味,5分钟,新手尝试,"['茄子 300克', '西红柿 200克', '生姜 适量', '大蒜 适量', '青椒 30克']","['番茄酱 30克', '酱油 10克', '醋 10克', '盐 2克', '鸡精 2克']"
【红红火火】秘制红烧肉,焖,甜味,60分钟,未知,['猪肉 600克'],"['料酒 50克', '白糖 40克', '大葱 15克', '生姜 5克', '水 适量']"
油焖春笋,焖,家常味,10分钟,新手尝试,['春笋 500克'],"['白糖 5克', '盐 1克', '花生油 15毫升']"
电饭煲焖排骨,焖,甜味,60分钟,中级掌勺,['排骨 500克'],"['料酒 15克', '大葱 适量', '生姜 适量', '水 适量', '黑芝麻 适量']"
白糖醋牛肉丸子,炸,酸甜味,30分钟,未知,"['牛肉 350克', '淀粉 110克']","['胡椒粉 1小勺', '料酒 2勺', '盐 适量', '大葱 适量', '鸡蛋 1个', '醋 2勺', '番茄酱 4勺', '淀粉 1勺']"
锅贴,煎,咸鲜味,30分钟,初级入门,"['猪肉 300克', '韭菜 80克']","['盐 4克', '大蒜 5克', '鸡精 4克', '花生油 8毫升', '胡椒粉 5克', '味精 4克', '黑芝麻 适量', '大葱 适量']"
无油版可乐鸡翅,烧,家常味,15分钟,初级入门,['鸡翅 450克'],"['生姜 1小块', '料酒 1/2茶匙', '大蒜 3瓣']"
香辣虾,煎,麻辣味,30分钟,初中水平,"['虾 500克', '大葱 5克']","['淀粉 10克', '花生油 50毫升', '干辣椒 20克', '盐 2克']"
猪蹄汤,煮,咸鲜味,60分钟,初级入门,"['胡萝卜 1根', '猪蹄 1个', '玉米 1根', '黄豆 50克']","['大葱 10克', '生姜 5克', '料酒 5克', '水 适量']"
海鲜火锅,煮,咸鲜味,60分钟,初中水平,"['水 500毫升', '大葱 1根', '鲍鱼 1个', '梭子蟹 1个', '蛤蜊 160克', '蛏子 100克']","['生姜 6克', '辣椒 3个', '料酒 5克', '盐 1克']"
四喜烤麸,烧,家常味,15分钟,初中水平,"['香菇 4朵', '黑木耳 4-5朵']","['花生 数粒', '酱油 1勺', '白糖 1勺', '桂皮 1块儿', '八角 2-3粒', '水 小半碗']"
蒸菜,蒸,家常味,30分钟,新手尝试,"['面条 100克', '玉米 50克']","['大蒜 3克', '花生油 3克']"
茄子烧豆角,烧,酱香味,15分钟,中级掌勺,"['茄子 一根', '四季豆 300克']","['豆瓣酱 适量', '生姜 5克', '大蒜 2瓣']"
清蒸鲈鱼,烧,鱼香味,30分钟,初中水平,['鲈鱼 适量'],"['料酒 3克', '生姜 适量', '盐 3克']"
白糖炖雪梨,炖,甜味,30分钟,初级入门,['香梨 1个'],"['白糖 10克', '红枣 2个', '枸杞子 5克']"
干锅排骨,炒,香辣味,30分钟,初级入门,"['排骨 500克', '大葱 1根', '淀粉 150克']","['生姜 10克', '大蒜 2克', '洋葱 150克', '干辣椒 5克', '盐 2克']"
奥尔良烤鸡,烤,甜味,一天,初级入门,"['大葱 5克', '生姜 2克', '土豆 20克', '鸡肉 50克']","['盐 5克', '胡椒粉 3克', '料酒 50克']"
开胃酸菜鱼,煮,酸辣味,10分钟,初级入门,['草鱼 1条'],"['大葱 半根', '大蒜 1头', '辣椒 2个', '生姜 1块', '香菜 2棵', '大葱 1棵', '干辣椒 4个', '盐 3克', '胡椒粉 3克', '淀粉 20克', '水 适量', '花生油 适量']"
酱茄子,炒,家常味,30分钟,初级入门,"['茄子 280克', '猪肉 100克']","['生姜 5克', '大葱 5克', '大蒜 5克', '淀粉 30克', '盐 2克']"
柠香鸡翅,烤,果味,30分钟,中级掌勺,['鸡翅 500克'],"['柠檬 2个', '盐 适量', '蜂蜜 适量', '花生油 适量', '大葱 适量', '胡椒粉 适量']"
秘制大蒜香鸡爪,拌,香辣味,数小时,初级入门,['鸡爪 500克'],"['盐 3克', '香叶 2片', '料酒 10克', '醋 15克', '八角 2个', '花椒 2克', '草果 1个', '桂皮 1块', '洋葱 适量', '辣椒 适量', '大葱 适量', '黑芝麻 适量', '辣椒粉 适量']"
烤箱烤鸡翅,烤,家常味,30分钟,初级入门,['鸡翅 9个'],"['胡椒粉 3克', '孜然 3克', '料酒 20克', '酱油 20克', '白糖 15克']"
白糖醋鲤鱼,炒,酸甜味,30分钟,初级入门,['鲤鱼 1条'],"['生姜 5克', '大葱 5克', '大蒜 5克', '花生油 10毫升', '盐 2克', '白糖 20克', '醋 20克', '番茄酱 15克', '水 100毫升']"
蒜苗回锅肉,炒,家常味,30分钟,新手尝试,"['蒜苗 50克', '猪肉 100克']","['生姜 5克', '大葱 10克', '大蒜 8克']"
猪肉炖粉条,炖,家常味,30分钟,初级入门,"['粉条 100克', '白菜 500克', '猪肉 100克']","['花生油 5毫升', '大葱 15克', '生姜 10克', '八角 2个', '盐 3克', '水 200毫升']"
白切鸡,煮,咸鲜味,30分钟,中级掌勺,"['鸡肉 1只', '花生油 2克']","['大蒜 5克', '生姜 3克', '大葱 5克', '白糖 5克', '盐 2克']"
辣子鸡丁,炒,香辣味,15分钟,初级入门,"['鸡肉 60克', '大葱 5克', '干辣椒 2克']","['生姜 2克', '大蒜 3瓣', '料酒 1毫升', '盐 3克', '淀粉 3克', '花生油 50毫升', '花椒 1克', '白糖 1克', '黑芝麻 1克']"
椒盐芝士李子厚蛋烧,煎,咸鲜味,15分钟,初级入门,"['鸡蛋 6个', '李子 1个', '奶酪 3片']","['椒盐 5克', '芝麻 1把', '小葱 2根', '橄榄 5克', '盐 3克']"
最简单的盐烤三文鱼排，是夕阳下大海的味,烤,咸鲜味,60分钟,未知,['三文鱼 1块'],"['胡椒粉 1/2匙', '盐 1匙']"
肉桂香煎五花,煎,家常味,30分钟,初级入门,"['猪肉 400克', '蒜苗 2支', '生姜 10克', '大蒜 10克', '甘草 小许']","['肉桂粉 1匙', '五香粉 1小匙', '料酒 3大匙', '盐 1匙', '白糖 2小匙', '苹果醋 1匙']"
干锅秋刀鱼,烧,香辣味,30分钟,中级掌勺,"['秋刀鱼 四条', '香菇 一把']","['盐 一撮', '豆豉 一勺', '小葱 一撮', '生姜 几片', '大蒜 几瓣']"
荷塘月色,蒸,家常味,30分钟,未知,"['百合 1个', '土豆 1个', '南瓜 2块']","['盐 适量', '花生油 少量', '胡椒粉 适量', '迷迭香 少量', '淀粉 适量', '黄瓜 适量']"
黑胡椒烤鸡腿肉,烤,黑椒味,15分钟,新手尝试,"['鸡腿 2个', '胡椒粉 适量', '洋葱 1/4个', '苦菊 1小把', '红椒 1/4个']","['大葱 1棵', '生姜 3片', '大蒜 3瓣', '白糖 30克', '胡椒粉 1克', '盐 1克', '蜂蜜 1勺', '苹果醋 1勺']"
肉松菜椒蛋饼，简单易做孩子喜欢,煎,家常味,15分钟,未知,['鸡蛋 3个'],"['盐 少许', '花生油 少许', '番茄酱 少许']"
菠菜拌粉条,拌,咸鲜味,30分钟,未知,"['菠菜 1把', '粉条 1把']","['盐 1.5匙', '大蒜 3瓣', '辣椒 3根']"
红薯炖茄子,炖,家常味,30分钟,未知,"['茄子 2个', '红薯 一个', '猪肉 少许']","['土豆 一个', '大葱 少许', '生姜 少许', '大蒜 少许', '料酒 少许', '酱油 少许', '盐 少许', '鸡精 少许', '花生油 适量']"
荷兰豆炒螺肉,炒,家常味,10分钟,未知,"['田螺 200克', '荷兰豆 50克', '胡萝卜 半条']","['花生油 1勺', '盐 茶匙', '生姜 1块']"
酱烧香菇鸡腿,烧,咸鲜味,60分钟,初级入门,"['鸡腿 4个', '香菇 1把']","['大葱 1根', '生姜 4片', '盐 适量', '胡椒粉 1/4小勺', '蚝油 1/2勺']"
清蒸大闸蟹,蒸,家常味,10分钟,新手尝试,['螃蟹 6只'],"['生姜 少许', '米醋 少许']"
粉丝肉末炒香菇,炒,家常味,15分钟,未知,"['猪肉 300克', '粉丝 适量', '香菇 5朵']","['料酒 1勺', '酱油 1勺', '盐 3克', '花生油 适量']"
卤水鸡爪,卤,家常味,60分钟,初中水平,['鸡爪 15个'],"['盐 适量', '料酒 10克']"
啤酒炖红烧肉,烧,家常味,30分钟,新手尝试,['猪肉 300克'],"['生姜 少许', '香叶 少许']"
红烧肉,烧,咸鲜味,60分钟,初级入门,"['猪肉 1500克', '大葱 3段', '生姜 5片', '大蒜 4瓣', '花椒 一勺', '八角 3个', '白糖 2勺']",['盐 适量']
红烧日本豆腐,煎,家常味,5分钟,初级入门,['豆腐 4条'],"['大蒜 1根', '盐 1/2小勺', '花生油 1大勺']"
红烧基围虾,炒,家常味,10分钟,初级入门,['虾 480克'],"['盐 1小勺', '小葱 2根', '生姜 2小片', '白糖 1小勺']"
洋葱焖鸡翅,焖,家常味,30分钟,新手尝试,"['鸡翅 8个', '洋葱 半个']","['生姜 适量', '胡椒粉 适量', '盐 适量', '小葱 适量', '白糖 适量', '水 适量']"
蒜蓉粉丝烤扇贝,烤,家常味,5分钟,新手尝试,"['扇贝 4个', '粉丝 30克', '大蒜 100克', '小葱 适量', '辣椒 适量']","['白糖 5克', '料酒 5克']"
三丝春卷,炸,家常味,10分钟,新手尝试,"['胡萝卜 1条', '韭黄 250克']","['盐 2克', '花生油 500克', '胡椒粉 2克']"
芹菜叶煎蛋,煎,咸鲜味,5分钟,未知,['鸡蛋 2个'],['芹菜 一点点']
胡麻油夏日烧烤,烤,家常味,15分钟,新手尝试,['豆腐 6块'],[]
盐酥鸡,炸,五香味,30分钟,初中水平,"['鸡腿 350克', '鸡蛋 1个', '淀粉 50克']","['盐 1勺', '生姜 8克', '大蒜 25克']"
酸菜鱼,炖,酸辣味,30分钟,中级掌勺,['草鱼 1条'],"['大葱 1根', '鸡精 3克', '生姜 5片', '大蒜 4瓣', '盐 适量', '辣椒 10个', '水 适量']"
腊肠蒸豆腐,蒸,咸鲜味,30分钟,未知,"['香肠 1根', '豆腐 1块']","['花生油 少许', '大葱 少许']"
柠檬红烧肉,煮,酸甜味,30分钟,中级掌勺,"['猪肉 600克', '柠檬 1个']","['花生油 2毫升', '盐 6克', '白糖 10克', '大蒜 20克', '生姜 3克', '八角 1个', '料酒 2毫升']"
娃娃菜烧油豆腐,烧,家常味,5分钟,初级入门,"['娃娃菜 1颗', '豆腐 5片']","['大蒜 3瓣', '盐 1小勺']"
酸菜鱼,煮,酸辣味,30分钟,中级掌勺,"['草鱼 1条', '鸡蛋 1个', '泡椒 50克']","['盐 3克', '胡椒粉 1克', '小葱 10克', '生姜 3克', '辣椒 5个', '料酒 2勺', '淀粉 2克', '花生油 适量']"
下酒菜之--酱肘子,炖,家常味,2小时,中级掌勺,"['猪肘 2个', '豆腐 2块', '大葱 4段', '生姜 6片', '大蒜 1头', '山楂 4个']",[]
野葱炒鸡蛋,炒,家常味,5分钟,中级掌勺,"['鸭蛋 两个', '大葱 一把']","['花生油 适量', '盐 适量']"
木须肉的家常做法，零难度超快手！,炒,家常味,10分钟,初级入门,"['鸡蛋 3个', '黄瓜 1根', '胡萝卜 少许', '猪肉 100克']","['小葱 少许', '盐 适量']"
家常版炸鸡翅，外脆里嫩，一口下去滋滋冒,煎,家常味,30分钟,新手尝试,"['鸡翅 6个', '盐 4克', '胡椒粉 4克', '柠檬 适量', '生姜 2片', '小麦面粉 60克', '淀粉 60克']","['辣椒 适量', '大蒜 适量']"
香辣豆腐干,其它工艺,麻辣味,10分钟,初级入门,['豆腐干 500克'],"['辣椒粉 2茶匙', '孜然 1茶匙', '花椒 1茶匙', '白糖 2茶匙', '大蒜 2茶匙', '芝麻 适量']"
蚂蚁上树,炒,家常味,15分钟,初级入门,"['猪肉 250克', '粉条 100克']","['大蒜 5瓣', '大葱 1根', '料酒 1茶匙', '白糖 1茶匙', '盐 少许', '胡椒粉 少许', '花生油 适量']"
凉拌芥菜丝,拌,香辣味,30分钟,未知,['芥菜 4个'],"['辣椒粉 1勺', '盐 4勺', '鸡精 1勺', '白糖 1勺', '大蒜 2头', '生姜 1块', '芝麻 1勺']"
鸡肉焖土豆,焖,酱香味,90分钟,未知,"['鸡腿 半只', '土豆 2个']","['盐 1克', '料酒 2克', '胡椒粉 0.5克', '白糖 3克', '生姜 2片', '大蒜 3瓣']"
辣子鸡,炸,香辣味,15分钟,新手尝试,"['鸡腿 2个', '辣椒 适量']","['料酒 5克', '盐 适量', '大葱 适量', '大蒜 适量', '生姜 适量', '淀粉 适量', '胡椒粉 适量']"
简易可乐鸡翅,煮,家常味,30分钟,初级入门,['鸡翅 600克'],['辣椒 适量']
银鱼排骨红枣汤,炖,家常味,60分钟,未知,"['排骨 500克', '红枣 5颗', '银耳 适量']",['盐 适量']
肉质酥嫩的秘诀在此，快手家常菜——酥嫩,炒,咸鲜味,15分钟,新手尝试,"['猪肉 200克', '青椒 1个', '蛋黄 1个']",['料酒 10毫升']
家常肉饼,烙,咸鲜味,10分钟,新手尝试,['猪肉 300克'],"['鸡蛋 1个', '生姜 5克', '大葱 1根', '盐 1茶匙', '料酒 1茶匙', '花生油 适量', '水 适量']"
西红柿炒鸡蛋,炒,家常味,5分钟,初级入门,"['西红柿 2个', '鸡蛋 3个']","['盐 少许', '大葱 少许']"
豉香炒凉粉,炒,香辣味,15分钟,初级入门,[],"['花生油 适量', '盐 2克', '大葱 3根', '生姜 3克', '大蒜 3瓣', '白糖 2克']"
糖醋排骨,炒,酸甜味,60分钟,初级入门,['排骨 400克'],"['大葱 5克', '生姜 5克', '白糖 100克', '料酒 10毫升', '醋 80毫升', '盐 2克']"
番茄烤鸡腿排,烤,酸甜味,15分钟,初级入门,['鸡腿 2个'],"['洋葱 30克', '大蒜 1勺', '胡椒 1/3茶匙']"
糖醋里脊,炸,酸甜味,15分钟,新手尝试,['猪肉 1条'],"['番茄酱 2勺', '淀粉 1勺', '醋 1勺', '白糖 1勺', '芝麻 适量', '盐 2克', '胡椒粉 3克', '生姜 2片', '花生油 适量', '淀粉 小半碗']"
蒜黄炒鸡蛋,炒,家常味,5分钟,新手尝试,"['大蒜 300克', '鸡蛋 3个']","['花生油 15毫升', '盐 2克']"
麻辣干锅虾,炒,麻辣味,10分钟,初中水平,"['虾 450克', '花生 70克', '西芹 30克']","['大葱 1根', '花椒 2克', '辣椒 8克', '生姜 6克', '料酒 20毫升', '胡椒粉 2克', '盐 2克']"
水煮牛肉,煮,香辣味,15分钟,中级掌勺,"['牛肉 400克', '油麦菜 几颗']","['花生油 一勺', '盐 一撮', '大葱 一撮', '生姜 一块', '大蒜 几瓣', '白糖 一勺', '胡椒粉 一勺', '花椒 一勺', '淀粉 一勺', '水 少许']"
糖醋鲤鱼,烧,酸甜味,15分钟,初中水平,"['鲤鱼 550克', '西兰花 适量']","['小麦面粉 60克', '水 80克', '白糖 40克', '醋 50克', '料酒 20克', '盐 3克', '番茄酱 30克', '水 100克', '淀粉 30克', '生姜 5克', '小葱 5克', '大蒜 5克']"
油焖大虾,炒,家常味,10分钟,新手尝试,"['虾 8只', '料酒 1小勺', '胡椒 少许', '大蒜 2瓣']","['白糖 1勺', '盐 适量', '水 1大勺']"
葱油拌面,拌,家常味,15分钟,新手尝试,"['大葱 12根', '面条 150克']","['白糖 2汤匙（30克）', '芝麻 少许']"
开胃麻汁凉面,拌,其它口味,15分钟,新手尝试,"['面条 700克', '芝麻酱 三勺']","['水 三勺', '醋 两勺', '黄瓜 一根', '大蒜 4瓣', '芝麻 适量', '盐 1/3小勺']"
豆豉鲮鱼烧茄子,烧,家常味,10分钟,初级入门,['茄子 2根'],"['花生油 适量', '盐 1茶匙', '白糖 1茶匙', '蚝油 1茶匙', '大蒜 15克']"
夏日开胃菜——茄汁鲳鱼,蒸,茄汁味,30分钟,新手尝试,"['鲳鱼 300克', '生姜 10克']","['酱油 20毫升', '料酒 20毫升']"
虎皮鹌鹑蛋,煮,家常味,15分钟,新手尝试,['鹌鹑蛋 250克'],"['酱油 适量', '花生油 适量', '盐 适量']"
醋溜土豆丝,炒,酸味,10分钟,未知,['土豆 1个'],"['大葱 1个', '大蒜 3个', '醋 3勺', '盐 1勺']"
小蜜蜂馒头,蒸,家常味,15分钟,初级入门,['小麦面粉 400克'],"['白糖 5克', '可可粉 2克']"
五花肉炒苗家私房菜,炒,香辣味,10分钟,初级入门,['猪肉 1块'],"['小葱 1根', '酱油 1茶匙', '洋葱 3个', '花生油 1汤匙']"
牛肉烧草菇,烧,家常味,30分钟,初中水平,"['牛肉 250克', '草菇 280克']","['花生油 3汤匙', '盐 4克', '白糖 1/2茶匙', '料酒 1.5茶匙', '蚝油 2茶匙', '生姜 1小块', '大蒜 2瓣']"
凉拌藕片,拌,香辣味,5分钟,新手尝试,['莲藕 250克'],"['香菜 1棵', '大蒜 2瓣', '醋 15克', '芝麻 少许']"
葱香烧五花肉,烧,葱香味,30分钟,未知,"['猪肉 500克', '大葱 2根']","['生姜 4片', '大蒜 4个', '白糖 2勺', '料酒 2勺', '酱油 2勺', '八角 3个', '醋 半汤匙']"
凉皮,拌,香辣味,15分钟,初中水平,['小麦面粉 250克'],['黄瓜 半根']
鱼香肉丝,炒,酸甜味,15分钟,新手尝试,"['猪肉 适量', '胡萝卜 适量', '青椒 适量', '大葱 适量', '生姜 适量', '大蒜 适量']","['花生油 适量', '盐 适量', '蚝油 适量', '白糖 适量', '料酒 适量', '米醋 适量', '淀粉 适量', '胡椒粉 适量']"
五花肉炖酸菜粉,炖,家常味,60分钟,未知,"['猪肉 700克', '粉条 1小把']","['大葱 少许', '生姜 适量', '料酒 半勺', '盐 适量', '鸡精 少许']"
水煮肉片,煮,香辣味,30分钟,初中水平,['猪肉 400克'],"['料酒 15克', '辣椒粉 5克', '花椒 2克', '盐 4克', '淀粉 3克', '黄豆芽 60克', '莴笋 80克', '生姜 20克', '花生油 60毫升', '酱油 10毫升']"
肉片炒西兰花,炒,家常味,30分钟,未知,['西兰花 400克'],"['料酒 少许', '盐 少许', '鸡精 少许', '大葱 少许', '生姜 少许', '大蒜 少许', '花生油 少许']"
烤箱烤牛肉,烧,咸鲜味,60分钟,未知,['牛肉 一斤'],"['料酒 两大勺', '孜然 适量', '五香粉 适量', '盐 适量', '蚝油 一勺']"
连皮都可以吃的干煸茧蛹,炸,咸鲜味,30分钟,未知,['蒜苗 100克'],"['盐 1勺', '鸡精 1勺', '辣椒 3个']"
配粥小菜，培根胡萝卜炒西蓝花，营养搭配,炒,咸鲜味,15分钟,新手尝试,"['西兰花 半个', '胡萝卜 一段', '培根 一条']","['生姜 2-3片', '花生油 25毫升', '盐 1勺', '水 小半碗', '鸡精 一点点']"
玉米粒炒鸡丝,炒,家常味,10分钟,新手尝试,"['鸡腿 一个', '胡萝卜 半段', '玉米 一小碗', '盐 适量', '花生油 适量']","['淀粉 少量', '生姜 数片', '大葱 两根', '大蒜 1瓣', '料酒 10ml']"
午餐肉米饭饼,烙,家常味,30分钟,未知,[],"['鸡蛋 2个', '盐 少许', '花生油 适量']"
牛肉蒸饺,蒸,家常味,30分钟,新手尝试,"['牛肉 500克', '洋葱 半个', '生姜 1小块', '小麦面粉 500克', '水 200克']","['盐 1勺', '料酒 3勺', '花生油 适量', '蚝油 1勺', '鸡蛋 1个', '胡椒粉 1小勺', '鸡精 适量']"
西红柿牛腩,炖,酸甜味,60分钟,初中水平,"['牛腩 800克', '西红柿 4个']","['大葱 2根', '大蒜 1个', '大葱 1根', '生姜 适量', '冰糖 适量', '八角 适量', '番茄酱 2勺', '料酒 适量']"
海参蒸蛋羹,蒸,咸鲜味,30分钟,新手尝试,"['鸡蛋 1个', '水 75克']",['白果 1个']
年菜糖醋里脊,炸,酸甜味,10分钟,初级入门,['猪肉 250克'],"['淀粉 20克', '鸡蛋 1个', '盐 2勺', '白糖 5克', '番茄酱 30克', '水 适量', '醋 少许']"
冬天就要多吃萝卜，这样和鱼一起炖，萝卜,炖,咸鲜味,60分钟,未知,['鲫鱼 两条'],"['蒜苗 适量', '大蒜 1头', '辣椒 2个', '白糖 3小勺', '盐 少许', '鸡精 少许']"
土耳其沙玛威（烤肉）,烤,五香味,60分钟,初级入门,"['鸡腿 1只', '生菜 1颗']","['肉桂粉 适量', '柠檬 半颗', '奶油 适量', '孜然 适量', '辣椒粉 适量', '盐 少许', '大蒜 适量', '胡椒粉 少许']"
剁椒炒西兰花,炒,家常味,5分钟,新手尝试,['西兰花 1个'],"['大蒜 适量', '盐 2克', '花生油 适量', '水 适量']"
红烧带鱼,烧,咸鲜味,15分钟,新手尝试,['带鱼 600克'],"['生姜 10克', '小葱 10克']"
豉汁蒸排骨,蒸,家常味,30分钟,新手尝试,['排骨 1斤'],"['淀粉 1/2茶匙', '花生油 少许', '小葱 少许']"
荷包蛋焖面  宝宝辅食食谱,煮,家常味,10分钟,新手尝试,"['面条 150克', '鸡蛋 2个', '酱油 5克', '蚝油 10克']",['番茄酱 15克']
蒜蓉粉丝蒸扇贝,蒸,蒜香味,15分钟,中级掌勺,"['扇贝 600克', '粉丝 50克']","['盐 3克', '小葱 30克', '生姜 15克', '酱油 3毫升']"
丝瓜炒鸡蛋,炒,家常味,15分钟,新手尝试,"['丝瓜 500克', '鸡蛋 150克']","['花生油 40克', '盐 8克', '小葱 3克']"
白灼虾,灼,家常味,10分钟,新手尝试,['虾 500克'],"['醋 1茶匙', '大葱 1段', '生姜 1块', '盐 2克', '水 适量']"
年夜饭必做的一道硬菜，低脂低卡不油腻,烧,家常味,30分钟,初中水平,['羊排 450克'],"['盐 少许', '酱油 1勺', '料酒 1大勺', '蚝油 1勺']"
卤豆腐&卤豆结,卤,五香味,30分钟,新手尝试,"['豆腐 500克', '鸡腿 3只', '鸡蛋 4个']","['八角 2粒', '桂皮 1小段', '香叶 3片', '白芷 2片', '辣椒 适量', '草果 1粒', '砂仁 1粒', '盐 适量']"
清蒸鲍鱼,蒸,咸鲜味,5分钟,中级掌勺,['鲍鱼 5只'],"['大葱 少许', '生姜 少许', '料酒 少许', '胡椒粉 少许']"
蛋黄肉松青团,蒸,咸鲜味,60分钟,未知,[],"['猪油 30克', '白糖 20克', '水 300克左右']"
老北京糊塌子,煎,家常味,15分钟,中级掌勺,"['鸡蛋 4个', '小麦面粉 110克']",['盐 5克']
红烧排骨,焖,家常味,30分钟,未知,"['排骨 适量', '冰糖 适量']","['八角 适量', '酱油 适量']"
蒜泥白肉,煮,香辣味,30分钟,初级入门,"['猪肉 250克', '小葱 1根', '大蒜 5瓣', '生姜 3片', '花椒 适量']","['料酒 1勺', '盐 少许', '酱油 2勺']"
冷菜系列~五福临门迎新春,拌,酸辣味,10分钟,未知,"['杏鲍菇 一根', '胡萝卜 一根', '洋葱 半个']","['香菜 适量', '干辣椒 适量', '辣椒粉 适量', '蚝油 适量', '醋 适量']"
沙姜麻油鸡丝,煮,麻辣味,15分钟,新手尝试,"['田鸡 半只', '料酒 20克', '生姜 4片']","['盐 3克', '胡椒粉 3克', '酱油 10克', '蚝油 15克', '辣椒油 适量', '大蒜 4克', '芝麻 适量']"
家常炒蒜苔,炒,家常味,10分钟,新手尝试,['虾仁 100克'],"['生姜 适量', '花生油 10克', '盐 5克', '醋 3克', '味精 3克']"
清蒸大闸蟹,蒸,咸鲜味,60分钟,新手尝试,['螃蟹 2只'],"['大蒜 2瓣', '酱油 适量']"
卤肉饭,炖,酱香味,90分钟,未知,['猪肉 400克'],"['大葱 2根', '八角 1个', '香叶 2片', '冰糖 少量', '盐 少量']"
