菜名,工艺,口味,时间,难度,主料,辅料
酥香芋头虾米鱼丸,炸,五香味,15分钟,中级掌勺,"['芋头 800克', '米粉 200克', '虾 200克', '葱白 100克']","['盐 5克', '生姜 1克', '五香粉 1克', '花生油 适量']"
西兰花炒口蘑,炒,家常味,5分钟,初级入门,"['西兰花 1颗', '口蘑 8个', '青椒 半个', '红椒 半个']","['大蒜 1瓣', '大葱 1小段', '蚝油 1大勺', '花生油 1勺', '盐 1勺']"
西红柿炒蛋,炒,家常味,5分钟,初级入门,"['西红柿 3个', '鸡蛋 4个']","['葱白 少许', '大蒜 1瓣', '芝麻油 适量']"
清蒸鱼,蒸,家常味,10分钟,新手尝试,['黄鱼 1条'],"['葱白 适量', '生姜 适量', '亚麻籽油 适量', '花椒 1茶匙', '辣椒 1个', '花生油 适量', '料酒 少许', '盐 少许']"
干锅菜花,干锅,香辣味,15分钟,初级入门,"['菜花 600克', '猪肉 150克']","['生姜 1小块', '八角 2粒', '盐 1小勺', '辣椒油 2汤匙', '酱油 2汤匙', '白糖 1/2汤匙', '鸡精 1小勺', '花生油 适量']"
荔枝肉,炒,酸甜味,15分钟,初级入门,"['猪肉 250克', '菠萝 几小块', '土豆 1个']","['葱白 5克', '大蒜 3瓣', '生姜 5克', '淀粉 1调羹', '盐 适量', '红景天 1茶匙', '番茄酱 2调羹', '猪油 半调羹', '醋 1.5调羹', '白糖 1调羹', '酱油 1调羹', '淀粉 5调羹']"
焗烤娃娃菜,烤,家常味,10分钟,新手尝试,"['娃娃菜 200克', '大蒜 15克', '蚝油 2茶匙']","['盐 适量', '红椒 1个', '小葱 少许']"
小葱拌豆腐,拌,家常味,10分钟,初级入门,"['豆腐 200克', '小葱 50克']","['盐 3克', '猪油 3克']"
粉蒸羊肉,蒸,香辣味,90分钟,初级入门,"['羊肉 1000克', '大米 100克']","['八角 1个', '干辣椒 2个', '花椒 10克', '酱油 1勺', '酱油 1勺', '鸡精 1勺', '豆瓣酱 1勺', '料酒 2勺']"
干锅虾,炒,香辣味,30分钟,初中水平,"['虾 500克', '莲藕 200克']","['芝麻油 适量', '盐 适量', '料酒 适量', '花椒 2克', '辣椒 适量', '孜然 1克', '香叶 适量', '茴香 适量']"
